window_id,timestamp,true_label,predicted_label,score,attack_type_true,attack_type_pred,unique_ips,packet_count,byte_volume,latency_ms
0,0,normal,normal,0.0000,,,0,0,0,0.00
1,0,normal,normal,0.0000,,,0,0,0,0.00
2,0,normal,normal,0.0000,,,0,0,0,0.00
3,0,normal,normal,0.0000,,,0,0,0,0.00
4,0,normal,normal,0.0000,,,0,0,0,0.00
5,0,normal,normal,0.0000,,,0,0,0,0.00
6,0,normal,normal,0.0000,,,0,0,0,0.00
7,0,normal,normal,0.0000,,,0,0,0,0.00
8,0,attack,normal,0.0000,,,0,0,0,0.00
9,0,attack,attack,0.0000,,,0,0,0,0.00
10,0,attack,attack,0.0000,,,0,0,0,0.00
11,0,attack,attack,0.0000,,,0,0,0,0.00
12,0,attack,attack,0.0000,,,0,0,0,0.00
13,0,attack,attack,0.0000,,,0,0,0,0.00
14,0,normal,normal,0.0000,,,0,0,0,0.00
15,0,normal,normal,0.0000,,,0,0,0,0.00
16,0,normal,normal,0.0000,,,0,0,0,0.00
17,0,normal,normal,0.0000,,,0,0,0,0.00
18,0,normal,normal,0.0000,,,0,0,0,0.00
19,0,normal,normal,0.0000,,,0,0,0,0.00
