timestamp,window_id,phase,nodes,rss_bytes,heap_bytes,stack_bytes,cpu_goroutines,total_unique_ips,detector
1776116554,0,normal,1,21364736,1245720,393216,4,300,ensemble
1776116555,0,normal,1,21364736,1253360,393216,4,0,ensemble
1776116555,0,normal,1,21364736,1258320,393216,4,0,ensemble
1776116555,1,normal,1,21364736,1278136,393216,4,300,ensemble
1776116556,1,normal,1,21364736,1285776,393216,4,0,ensemble
1776116556,1,normal,1,21364736,1290624,393216,4,0,ensemble
1776116556,2,normal,1,21364736,1310688,393216,4,300,ensemble
1776116557,2,normal,1,21364736,1318328,393216,4,0,ensemble
1776116557,2,normal,1,21364736,1323176,393216,4,0,ensemble
1776116557,3,normal,1,21495808,1343216,393216,4,300,ensemble
1776116558,3,normal,1,21495808,1350856,393216,4,0,ensemble
1776116558,3,normal,1,21495808,1355704,393216,4,0,ensemble
1776116558,4,normal,1,21495808,1375520,393216,4,300,ensemble
1776116559,4,normal,1,21495808,1390144,393216,4,0,ensemble
1776116559,4,normal,1,21495808,1394992,393216,4,0,ensemble
1776116559,5,normal,1,21495808,1414808,393216,4,300,ensemble
1776116560,5,normal,1,21495808,1422448,393216,4,0,ensemble
1776116560,5,normal,1,21495808,1427296,393216,4,0,ensemble
1776116560,6,attack,1,22020096,1900176,393216,4,15276,ensemble
1776116561,6,attack,1,22151168,1915128,393216,4,0,ensemble
1776116561,6,attack,1,22151168,1919976,393216,4,0,ensemble
1776116561,7,attack,1,22675456,2392856,393216,4,15346,ensemble
1776116562,7,attack,1,22675456,2397784,393216,4,0,ensemble
1776116562,7,attack,1,22675456,2402632,393216,4,0,ensemble
1776116562,8,attack,1,22937600,2652824,393216,4,15296,ensemble
1776116563,8,attack,1,22937600,2657752,393216,4,0,ensemble
1776116563,8,attack,1,22937600,2662600,393216,4,0,ensemble
1776116563,9,attack,1,23199744,2912792,393216,4,15332,ensemble
1776116564,9,attack,1,23199744,2924704,393216,4,0,ensemble
1776116564,9,attack,1,23199744,2929552,393216,4,0,ensemble
1776116564,10,attack,1,23461888,3179760,393216,4,15459,ensemble
1776116565,10,attack,1,23461888,3184688,393216,4,0,ensemble
1776116565,10,attack,1,23461888,3189536,393216,4,0,ensemble
1776116565,11,normal,1,23461888,3199744,393216,4,302,ensemble
1776116566,11,normal,1,23461888,3204672,393216,4,0,ensemble
1776116566,11,normal,1,23461888,3209520,393216,4,0,ensemble
1776116566,12,normal,1,23461888,3219728,393216,4,300,ensemble
1776116567,12,normal,1,23461888,3224656,393216,4,0,ensemble
1776116567,12,normal,1,23461888,3229504,393216,4,0,ensemble
1776116567,13,normal,1,23461888,3239712,393216,4,301,ensemble
1776116568,13,normal,1,23461888,3244640,393216,4,0,ensemble
1776116568,13,normal,1,23461888,3249488,393216,4,0,ensemble
1776116568,14,normal,1,23461888,3259696,393216,4,299,ensemble
1776116569,14,normal,1,23461888,3271608,393216,4,0,ensemble
1776116569,14,normal,1,23461888,3276792,393216,4,0,ensemble
